Player,Team,ERA,Innings Pitched,Earned Runs,Walks,Strikeouts,SO/BB Ratio
Jonathan Cannon,CHW,4.5,72,36,26,56,2.15
Justin Verlander,SFG,4.84,70.2,38,26,60,2.31
Ryan Gusto,HOU,4.61,70.1,36,24,72,3
Chase Dollander,COL,6.68,68.2,51,33,52,1.58
Mitch Spence,ATH,4.06,68.2,31,21,60,2.86
Tylor Megill,NYM,3.95,68.1,30,33,89,2.7
Stephen Kolek,SDP,4.24,68,32,22,49,2.23
Lucas Giolito,BOS,3.66,66.1,27,21,58,2.76
Hayden Birdsong,SFG,4.11,65.2,30,33,68,2.06
Jose Quintana,MIL,3.44,65.1,25,27,44,1.63
Max Meyer,MIA,4.73,64.2,34,20,68,3.4
Cade Povich,BAL,5.15,64.2,37,23,68,2.96
Corbin Burnes,ARI,2.66,64.1,19,26,63,2.42
Bowden Francis,TOR,6.05,64,43,27,54,2
Noah Cameron,KCR,2.56,63.1,18,20,50,2.5
Michael Soroka,WSN,5.4,63.1,38,17,70,4.12
Simeon Woods Richardson,MIN,4.41,63.1,31,24,55,2.29
Zach Eflin,BAL,5.95,62,41,11,42,3.82
Keider Montero,DET,3.77,62,26,21,43,2.05
Brad Lord,WSN,3.65,61.2,25,23,54,2.35
