Player,Conference,Team,Age,Pos,PPG,RPG,APG
Toumani Camara,West,POR,24,PF,11.3,5.8,2.2
Ty Jerome,East,CLE,27,SG,12.5,2.5,3.4
Spencer Dinwiddie,West,DAL,31,PG,11,2.6,4.4
Alex Sarr,East,WAS,19,C,13,6.5,2.4
Rudy Gobert,West,MIN,32,C,12,10.9,1.8
Tim Hardaway Jr.,East,DET,32,SG,11,2.4,1.6
Fred VanVleet,West,HOU,30,PG,14.1,3.7,5.6
Keon Johnson,East,BRK,22,SG,10.6,3.8,2.2
Scoot Henderson,West,POR,20,PG,12.7,3,5.1
P.J. Washington,West,DAL,26,PF,14.7,7.8,2.3
Obi Toppin,East,IND,26,PF,10.5,4,1.6
Tyus Jones,West,PHO,28,PG,10.2,2.4,5.3
Gary Trent Jr.,East,MIL,26,SG,11.1,2.3,1.2
Jakob Poeltl,East,TOR,29,C,14.5,9.6,2.8
Jaylen Wells,West,MEM,21,SG,10.4,3.4,1.7
Kristaps Porzi??is,East,BOS,29,C,19.5,6.8,2.1
Duncan Robinson,East,MIA,30,SF,11,2.3,2.4
Julian Champagnie,West,SAS,23,SF,9.9,3.9,1.4
Santi Aldama,West,MEM,24,PF,12.5,6.4,2.9
Bub Carrington,East,WAS,19,PG,9.8,4.2,4.4
Kawhi Leonard,West,LAC,33,SF,21.5,5.9,3.1
Derrick Jones Jr.,West,LAC,27,SF,10.1,3.4,0.8
Scotty Pippen Jr.,West,MEM,24,PG,9.9,3.3,4.4
Gradey Dick,East,TOR,21,SG,14.4,3.6,1.8
Rui Hachimura,West,LAL,26,PF,13.1,5,1.4
Nickeil Alexander-Walker,West,MIN,26,SG,9.4,3.2,2.7
Brice Sensabaugh,West,UTA,21,SF,10.9,3,1.5
Guerschon Yabusele,East,PHI,29,C,11,5.6,2.1
John Collins,West,UTA,27,PF,19,8.2,2
Isaiah Joe,West,OKC,25,SG,10.2,2.6,1.6
Jalen Wilson,East,BRK,24,PF,9.5,3.4,1.8
Aaron Gordon,West,DEN,29,PF,14.7,4.8,3.2
Brandin Podziemski,West,GSW,21,SG,11.7,5.1,3.4
Zion Williamson,West,NOP,24,PF,24.6,7.2,5.3
Anthony Black,East,ORL,21,PG,9.4,2.9,3.1
D'Angelo Russell,East,BKN,28,PG,12.6,2.8,5.1
Bilal Coulibaly,East,WAS,20,SF,12.3,5,3.4
Moses Moody,West,GSW,22,SG,9.8,2.6,1.3
Nic Claxton,East,BRK,25,C,10.3,7.4,2.2
Chris Paul,West,SAS,39,PG,8.8,3.6,7.4
Donte DiVincenzo,West,MIN,28,SG,11.7,3.7,3.6
T.J. McConnell,East,IND,32,PG,9.1,2.4,4.4
Luguentz Dort,West,OKC,25,SF,10.1,4.1,1.6
Jonathan Kuminga,West,GSW,22,PF,15.3,4.6,2.2
Dalton Knecht,West,LAL,23,SF,9.1,2.8,0.8
Corey Kispert,East,WAS,25,SF,11.6,3,1.7
Daniel Gafford,West,DAL,26,C,12.3,6.8,1.4
