Player,Age,Conference,Team,Position,RecYds,RushYds,TDs
Audric Estime,21,AFC,DEN,RB,27,310,2
Dyami Brown,25,NFC,WAS,WR,308,26,1
Cedric Tillman,24,AFC,CLE,WR,339,-5,3
Brock Purdy,25,NFC,SFO,QB,0,323,5
Adonai Mitchell,22,AFC,IND,WR,312,6,0
Kendrick Bourne,29,AFC,NWE,WR,305,6,1
Dawson Knox,28,AFC,BUF,TE,311,0,1
Patrick Mahomes,29,AFC,KAN,QB,2,307,2
Justin Herbert,26,AFC,LAC,QB,0,306,2
Jordan Whittington,24,NFC,LAR,WR,293,12,0
Mike Williams,30,AFC,NYJ,WR,166,0,0
Mike Williams,30,AFC,PIT,WR,132,0,1
Ezekiel Elliott,29,NFC,DAL,RB,69,226,3
Dameon Pierce,24,AFC,HOU,RB,2,293,2
Lil'Jordan Humphrey,26,AFC,DEN,WR,293,0,1
Tyler Johnson,26,NFC,LAR,WR,291,0,1
Justin Fields,25,AFC,PIT,QB,0,289,5
Rashee Rice,24,AFC,KAN,WR,288,1,2
Justin Watson,28,AFC,KAN,WR,289,0,2
Jeremy McNichols,29,NFC,WAS,RB,27,261,4
D'Onta Foreman,28,AFC,CLE,RB,54,232,0
Van Jefferson,28,AFC,PIT,WR,276,0,2
Geno Smith,34,NFC,SEA,QB,0,272,2
Troy Franklin,21,AFC,DEN,WR,263,8,2
Curtis Samuel,28,AFC,BUF,WR,253,14,1
Blake Corum,24,NFC,LAR,RB,58,207,0
Daniel Jones,27,NFC,NYG,QB,0,265,2
Trey Sermon,25,AFC,IND,RB,99,159,2
Jaylen Wright,21,AFC,MIA,RB,8,249,0
Brandin Cooks,31,NFC,DAL,WR,259,-3,3
Roschon Johnson,23,NFC,CHI,RB,104,150,6
John Metchie,24,AFC,HOU,WR,254,0,1
Chris Brooks,24,NFC,GNB,RB,69,183,1
Isaiah Davis,22,AFC,NYJ,RB,75,174,2
Bryce Young,23,NFC,CAR,QB,0,249,6
Malik Washington,23,AFC,MIA,WR,223,25,1
Luke Schoonmaker,26,NFC,DAL,TE,241,0,1
Gabriel Davis,25,AFC,JAX,WR,239,0,2
C.J. Stroud,23,AFC,HOU,QB,0,233,0
Nelson Agholor,31,AFC,BAL,WR,231,0,2
JuJu Smith-Schuster,28,AFC,KAN,WR,231,0,2
Jahan Dotson,24,NFC,PHI,WR,216,13,0
Kyle Juszczyk,33,NFC,SFO,FB,200,26,3
Ty Chandler,26,NFC,MIN,RB,42,182,0
Jamaal Williams,29,NFC,NOR,RB,57,164,1
Cordarrelle Patterson,33,AFC,PIT,RB,80,135,1
Tyler Goodson,24,AFC,IND,RB,61,153,2
Zamir White,25,AFC,LVR,RB,30,183,1
Sam Darnold,27,NFC,MIN,QB,0,212,1
Cedrick Wilson Jr.,29,NFC,NOR,WR,211,0,1
Carson Steele,22,AFC,KAN,RB,26,183,0
Robert Woods,32,AFC,HOU,WR,203,0,0
Joe Burrow,28,AFC,CIN,QB,0,201,2
Kenny McIntosh,24,NFC,SEA,RB,22,172,0
Will Levis,25,AFC,TEN,QB,0,183,0
Kendre Miller,22,NFC,NOR,RB,33,148,1
Trey Palmer,23,NFC,TAM,WR,172,0,1
Jonathan Mingo,23,NFC,DAL,WR,46,0,0
Luke McCaffrey,23,NFC,WAS,WR,168,0,0
Russell Wilson,36,AFC,PIT,QB,0,155,2
Khalil Herbert,26,AFC,CIN,RB,21,114,0
Mecole Hardman,26,AFC,KAN,WR,90,62,1
Deshaun Watson,29,AFC,CLE,QB,0,148,1
Mo Alie-Cox,31,AFC,IND,TE,147,0,1
